date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source
2018-08-25,2018-19,Apertura,7,False,Pachuca,Puebla,2.0,0.0,0.0,0.0,footballcsv
2018-08-25,2018-19,Apertura,7,False,América,Pumas UNAM,2.0,2.0,1.0,1.0,footballcsv
2018-08-25,2018-19,Apertura,7,False,Veracruz,Tijuana,1.0,0.0,1.0,0.0,footballcsv
2018-08-25,2018-19,Apertura,7,False,Necaxa,Tigres UANL,1.0,1.0,0.0,0.0,footballcsv
2018-08-26,2018-19,Apertura,7,False,Toluca,León,1.0,2.0,1.0,2.0,footballcsv
2018-08-26,2018-19,Apertura,7,False,Santos Laguna,Cruz Azul,1.0,1.0,0.0,0.0,footballcsv
2018-08-26,2018-19,Apertura,7,False,Querétaro,Lobos BUAP,2.0,0.0,1.0,0.0,footballcsv
2018-08-31,2018-19,Apertura,8,False,Monarcas Morelia,Querétaro,1.0,4.0,0.0,1.0,footballcsv
2018-08-31,2018-19,Apertura,8,False,Tijuana,Necaxa,1.0,0.0,0.0,0.0,footballcsv
2018-08-31,2018-19,Apertura,8,False,Puebla,Monterrey,2.0,1.0,0.0,1.0,footballcsv
2018-09-01,2018-19,Apertura,8,False,Guadalajara,Pachuca,1.0,3.0,1.0,2.0,footballcsv
2018-09-01,2018-19,Apertura,8,False,Cruz Azul,Veracruz,4.0,1.0,1.0,0.0,footballcsv
2018-09-01,2018-19,Apertura,8,False,León,Pumas UNAM,1.0,2.0,1.0,1.0,footballcsv
2018-09-01,2018-19,Apertura,8,False,Tigres UANL,Atlas,3.0,1.0,0.0,1.0,footballcsv
2018-09-02,2018-19,Apertura,8,False,Lobos BUAP,América,0.0,2.0,0.0,1.0,footballcsv
2018-09-02,2018-19,Apertura,8,False,Toluca,Santos Laguna,2.0,1.0,1.0,1.0,footballcsv
2018-09-14,2018-19,Apertura,9,False,Veracruz,Toluca,2.0,3.0,0.0,2.0,footballcsv
2018-09-15,2018-19,Apertura,9,False,Querétaro,Puebla,0.0,1.0,0.0,0.0,footballcsv
2018-09-15,2018-19,Apertura,9,False,Pachuca,Tigres UANL,1.0,1.0,1.0,0.0,footballcsv
2018-09-15,2018-19,Apertura,9,False,América,Monarcas Morelia,2.0,1.0,1.0,0.0,footballcsv
2018-09-15,2018-19,Apertura,9,False,Necaxa,Cruz Azul,2.0,0.0,1.0,0.0,footballcsv
2018-09-15,2018-19,Apertura,9,False,Monterrey,Guadalajara,2.0,4.0,0.0,1.0,footballcsv
2018-09-16,2018-19,Apertura,9,False,Atlas,Tijuana,0.0,1.0,0.0,0.0,footballcsv
2018-09-16,2018-19,Apertura,9,False,Pumas UNAM,Lobos BUAP,4.0,2.0,1.0,0.0,footballcsv
2018-09-16,2018-19,Apertura,9,False,Santos Laguna,León,3.0,0.0,1.0,0.0,footballcsv
2018-09-21,2018-19,Apertura,10,False,Puebla,América,2.0,3.0,1.0,2.0,footballcsv
2018-09-21,2018-19,Apertura,10,False,Monarcas Morelia,Pumas UNAM,0.0,0.0,0.0,0.0,footballcsv
2018-09-22,2018-19,Apertura,10,False,León,Lobos BUAP,0.0,1.0,0.0,0.0,footballcsv
2018-09-22,2018-19,Apertura,10,False,Tijuana,Pachuca,1.0,0.0,0.0,0.0,footballcsv
2018-09-22,2018-19,Apertura,10,False,Cruz Azul,Atlas,2.0,0.0,1.0,0.0,footballcsv
