date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source,match_id,home_elo_pre,away_elo_pre,elo_diff_pre,h2h_home_wins_last_5,h2h_draws_last_5,h2h_away_wins_last_5,h2h_home_goals_last_5,h2h_away_goals_last_5,h2h_matches_last_5,h2h_home_wins_last_10,h2h_draws_last_10,h2h_away_wins_last_10,h2h_home_goals_last_10,h2h_away_goals_last_10,h2h_matches_last_10,home_wins_last_3,home_points_last_3,home_goals_for_last_3,home_goals_against_last_3,home_goal_diff_last_3,home_avg_goals_scored_last_3,home_avg_goals_conceded_last_3,home_wins_last_5,home_points_last_5,home_goals_for_last_5,home_goals_against_last_5,home_goal_diff_last_5,home_avg_goals_scored_last_5,home_avg_goals_conceded_last_5,home_wins_last_10,home_points_last_10,home_goals_for_last_10,home_goals_against_last_10,home_goal_diff_last_10,home_avg_goals_scored_last_10,home_avg_goals_conceded_last_10,home_clean_sheet_rate_last_3,home_clean_sheet_rate_last_5,home_clean_sheet_rate_last_10,home_matches_played_so_far,home_days_since_last_match,home_venue_win_rate,home_venue_goals,home_venue_goals_conceded,away_wins_last_3,away_points_last_3,away_goals_for_last_3,away_goals_against_last_3,away_goal_diff_last_3,away_avg_goals_scored_last_3,away_avg_goals_conceded_last_3,away_wins_last_5,away_points_last_5,away_goals_for_last_5,away_goals_against_last_5,away_goal_diff_last_5,away_avg_goals_scored_last_5,away_avg_goals_conceded_last_5,away_wins_last_10,away_points_last_10,away_goals_for_last_10,away_goals_against_last_10,away_goal_diff_last_10,away_avg_goals_scored_last_10,away_avg_goals_conceded_last_10,away_clean_sheet_rate_last_3,away_clean_sheet_rate_last_5,away_clean_sheet_rate_last_10,away_matches_played_so_far,away_days_since_last_match,away_venue_win_rate,away_venue_goals,away_venue_goals_conceded,result,total_goals
2018-07-28,2018-19,Apertura,2,False,América,Atlas,3.0,0.0,2.0,0.0,footballcsv,11,1494.8251151822697,1497.737263596937,-2.9121484146673993,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,0.0,1,6.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,8.0,,,,H,3.0
2018-07-28,2018-19,Apertura,2,False,Guadalajara,Cruz Azul,0.0,1.0,0.0,0.0,footballcsv,12,1494.8251151822697,1510.349769635461,-15.52465445319126,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,0.0,1,7.0,,,,1.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1,7.0,,,,A,1.0
2018-07-28,2018-19,Apertura,2,False,Querétaro,Pachuca,1.0,0.0,0.0,0.0,footballcsv,13,1502.262736403063,1491.5001188362671,10.762617566795825,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,8.0,,,,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,1,7.0,,,,H,1.0
2018-07-29,2018-19,Apertura,2,False,Lobos BUAP,Veracruz,2.0,0.0,1.0,0.0,footballcsv,17,1494.8251151822697,1486.5280070948975,8.29710808737218,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,0.0,1,7.0,,,,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,1,9.0,,,,H,2.0
2018-07-29,2018-19,Apertura,2,False,Tigres UANL,Tijuana,1.0,0.0,0.0,0.0,footballcsv,16,1508.201998381654,1505.1748848177303,3.027113563923649,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1,8.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,8.0,,,,H,1.0
2018-07-29,2018-19,Apertura,2,False,León,Monterrey,0.0,2.0,0.0,0.0,footballcsv,14,1491.798001618346,1508.4998811637329,-16.701879545386873,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,1,8.0,,,,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,8.0,1.0,1.0,0.0,A,2.0
2018-07-29,2018-19,Apertura,2,False,Pumas UNAM,Necaxa,5.0,3.0,1.0,1.0,footballcsv,15,1513.4719929051025,1505.1748848177303,8.29710808737218,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1,9.0,,,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,7.0,,,,H,8.0
2018-08-03,2018-19,Apertura,3,False,Veracruz,Monarcas Morelia,2.0,2.0,1.0,1.0,footballcsv,18,1478.5937386152334,1500.4411652991594,-21.84742668392596,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,-4.0,0.0,2.0,0.0,0.0,0.0,4.0,-4.0,0.0,2.0,0.0,0.0,0.0,4.0,-4.0,0.0,2.0,0.0,0.0,0.0,2,5.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,0.0,1.5,1.5,1.0,3.0,3.0,3.0,0.0,1.5,1.5,1.0,3.0,3.0,3.0,0.0,1.5,1.5,0.0,0.0,0.0,2,7.0,0.0,0.0,2.0,D,4.0
2018-08-03,2018-19,Apertura,3,False,Atlas,Pumas UNAM,0.0,3.0,0.0,2.0,footballcsv,19,1487.2675424471834,1521.4062613847666,-34.138718937583235,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,3.0,-3.0,0.0,1.5,0.0,1.0,0.0,3.0,-3.0,0.0,1.5,0.0,1.0,0.0,3.0,-3.0,0.0,1.5,0.5,0.5,0.5,2,6.0,0.0,0.0,0.0,2.0,6.0,7.0,3.0,4.0,3.5,1.5,2.0,6.0,7.0,3.0,4.0,3.5,1.5,2.0,6.0,7.0,3.0,4.0,3.5,1.5,0.5,0.5,0.5,2,5.0,1.0,2.0,0.0,A,3.0
2018-08-04,2018-19,Apertura,3,False,Pachuca,América,1.0,3.0,0.0,1.0,footballcsv,20,1486.5437764441756,1505.2948363320234,-18.75105988784776,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,0.0,0.0,0.0,2,7.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,0.5,0.5,0.5,2,7.0,0.0,1.0,2.0,A,4.0
