date,season,stage,round,is_playoff,home_team_raw,away_team_raw,home_goals,away_goals,home_ht_goals,away_ht_goals,source,home_team,away_team
2018-08-19,2018-19,Apertura,5,False,Santos Laguna,UANL Tigres,3.0,1.0,1.0,0.0,footballcsv,Santos Laguna,Tigres UANL
2018-08-19,2018-19,Apertura,5,False,Deportivo Toluca,Club Tijuana,3.0,0.0,2.0,0.0,footballcsv,Toluca,Tijuana
2018-08-21,2018-19,Apertura,6,False,Pumas UNAM,Gallos Blancos,0.0,1.0,0.0,1.0,footballcsv,Pumas UNAM,Querétaro
2018-08-21,2018-19,Apertura,6,False,Puebla FC,Atlas Guadalajara,2.0,0.0,1.0,0.0,footballcsv,Puebla,Atlas
2018-08-21,2018-19,Apertura,6,False,Deportivo Guadalajara,Club Necaxa,1.0,0.0,1.0,0.0,footballcsv,Guadalajara,Necaxa
2018-08-21,2018-19,Apertura,6,False,Monarcas Morelia,CF Pachuca,1.0,1.0,1.0,0.0,footballcsv,Monarcas Morelia,Pachuca
2018-08-22,2018-19,Apertura,6,False,Club León,CF América,2.0,0.0,1.0,0.0,footballcsv,León,América
2018-08-22,2018-19,Apertura,6,False,Club Tijuana,Santos Laguna,2.0,2.0,0.0,0.0,footballcsv,Tijuana,Santos Laguna
2018-08-22,2018-19,Apertura,6,False,Lobos BUAP,CF Monterrey,1.0,2.0,0.0,1.0,footballcsv,Lobos BUAP,Monterrey
2018-08-22,2018-19,Apertura,6,False,Cruz Azul,Deportivo Toluca,1.0,0.0,1.0,0.0,footballcsv,Cruz Azul,Toluca
2018-08-22,2018-19,Apertura,6,False,UANL Tigres,CD Veracruz,4.0,0.0,1.0,0.0,footballcsv,Tigres UANL,Veracruz
2018-08-24,2018-19,Apertura,7,False,Atlas Guadalajara,Deportivo Guadalajara,0.0,1.0,0.0,0.0,footballcsv,Atlas,Guadalajara
2018-08-25,2018-19,Apertura,7,False,CF Pachuca,Puebla FC,2.0,0.0,0.0,0.0,footballcsv,Pachuca,Puebla
2018-08-25,2018-19,Apertura,7,False,CF América,Pumas UNAM,2.0,2.0,1.0,1.0,footballcsv,América,Pumas UNAM
2018-08-25,2018-19,Apertura,7,False,CD Veracruz,Club Tijuana,1.0,0.0,1.0,0.0,footballcsv,Veracruz,Tijuana
2018-08-25,2018-19,Apertura,7,False,Club Necaxa,UANL Tigres,1.0,1.0,0.0,0.0,footballcsv,Necaxa,Tigres UANL
2018-08-25,2018-19,Apertura,7,False,CF Monterrey,Monarcas Morelia,2.0,2.0,2.0,1.0,footballcsv,Monterrey,Monarcas Morelia
2018-08-26,2018-19,Apertura,7,False,Gallos Blancos,Lobos BUAP,2.0,0.0,1.0,0.0,footballcsv,Querétaro,Lobos BUAP
2018-08-26,2018-19,Apertura,7,False,Deportivo Toluca,Club León,1.0,2.0,1.0,2.0,footballcsv,Toluca,León
2018-08-26,2018-19,Apertura,7,False,Santos Laguna,Cruz Azul,1.0,1.0,0.0,0.0,footballcsv,Santos Laguna,Cruz Azul
2018-08-31,2018-19,Apertura,8,False,Puebla FC,CF Monterrey,2.0,1.0,0.0,1.0,footballcsv,Puebla,Monterrey
2018-08-31,2018-19,Apertura,8,False,Club Tijuana,Club Necaxa,1.0,0.0,0.0,0.0,footballcsv,Tijuana,Necaxa
2018-08-31,2018-19,Apertura,8,False,Monarcas Morelia,Gallos Blancos,1.0,4.0,0.0,1.0,footballcsv,Monarcas Morelia,Querétaro
2018-09-01,2018-19,Apertura,8,False,Deportivo Guadalajara,CF Pachuca,1.0,3.0,1.0,2.0,footballcsv,Guadalajara,Pachuca
2018-09-01,2018-19,Apertura,8,False,Cruz Azul,CD Veracruz,4.0,1.0,1.0,0.0,footballcsv,Cruz Azul,Veracruz
2018-09-01,2018-19,Apertura,8,False,Club León,Pumas UNAM,1.0,2.0,1.0,1.0,footballcsv,León,Pumas UNAM
